"Antimicrobial";"Bacterium";"DiskContent";"Z6";"Z7";"Z8";"Z9";"Z10";"Z11";"Z12";"Z13";"Z14";"Z15";"Z16";"Z17";"Z18";"Z19";"Z20";"Z21";"Z22";"Z23";"Z24";"Z25";"Z26";"Z27";"Z28";"Z29";"Z30";"Z31";"Z32";"Z33";"Z34";"Z35";"Z36";"Z37";"Z38";"Z39";"Z40";"Z41";"Z42";"Z43";"Z44";"Z45";"Z46";"Z47";"Z48";"Z49";"Z50";"ECOFF";"Distributions";"Observations"
"Minocycline";"Streptococcus pneumoniae ATCC 49619";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;9;18;9;7;4;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;55
"Minocycline";"Streptococcus pyogenes";30;0;0;0;0;0;0;0;0;1;2;2;3;7;9;5;5;1;3;2;4;4;12;13;12;10;17;18;4;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;4;143
"Moxifloxacin";"Citrobacter freundii";5;0;0;0;0;0;0;0;0;0;0;2;0;1;3;4;3;5;2;5;11;14;15;6;4;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;5;79
"Moxifloxacin";"Citrobacter koseri";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;6;4;4;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;27
"Moxifloxacin";"Corynebacterium afermentans";5;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0;1;0;0;0;0;0;;1;9
"Moxifloxacin";"Corynebacterium amycolatum";5;76;0;0;0;0;0;0;0;0;0;1;1;0;4;2;2;0;1;0;0;0;0;0;0;0;0;0;0;2;4;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;4;99
"Moxifloxacin";"Corynebacterium aurimucosum";5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;8
"Moxifloxacin";"Corynebacterium glucuronolyticum";5;2;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;2;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;1;20
"Moxifloxacin";"Corynebacterium jeikeium";5;33;0;3;1;1;1;2;2;4;8;4;1;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;4;71
"Moxifloxacin";"Corynebacterium propinquum";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;7
"Moxifloxacin";"Corynebacterium pseudodiphtheriticum";5;9;0;1;1;1;2;2;1;0;2;0;0;1;0;2;0;1;0;0;0;0;0;0;3;9;4;6;6;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;5;57
"Moxifloxacin";"Corynebacterium singulare";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;;1;4
"Moxifloxacin";"Corynebacterium spp";5;184;1;16;19;13;19;9;7;11;12;5;4;6;7;12;4;5;4;2;1;2;2;4;7;11;11;16;14;10;10;15;7;5;3;2;0;0;0;0;1;0;0;1;0;0;;5;462
"Moxifloxacin";"Corynebacterium striatum";5;40;2;15;16;8;11;2;0;2;1;0;0;4;1;6;2;4;3;2;0;1;0;4;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;5;131
"Moxifloxacin";"Corynebacterium urealyticum";5;29;0;0;1;1;3;1;4;5;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;4;54
"Moxifloxacin";"Enterobacter cloacae";5;0;0;0;0;0;0;0;0;1;0;2;1;1;1;1;5;2;5;8;16;15;12;4;5;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;4;86
"Moxifloxacin";"Enterobacter spp";5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;3;1;0;1;3;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;14
"Moxifloxacin";"Escherichia coli";5;70;4;9;2;1;2;1;1;1;1;0;2;8;10;28;13;15;22;42;96;168;182;182;112;113;59;51;34;8;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;5;1245
"Moxifloxacin";"Escherichia coli ATCC 25922";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;16;38;55;44;8;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;7;169
"Moxifloxacin";"Haemophilus influenzae";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;14;20;37;47;49;44;37;25;20;4;0;1;1;1;0;0;0;1;0;0;0;29;3;307
"Moxifloxacin";"Haemophilus influenzae ATCC 49766";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;24;22;23;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;93
"Moxifloxacin";"Klebsiella aerogenes";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;4;1;6;2;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;20
"Moxifloxacin";"Klebsiella oxytoca";5;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;6;4;23;26;30;14;10;10;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;4;133
"Moxifloxacin";"Klebsiella pneumoniae";5;2;0;1;0;0;0;0;0;0;2;2;4;6;8;4;2;12;31;49;55;45;24;13;1;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;5;267
