"Antimicrobial";"Bacterium";"M0.002";"M0.004";"M0.008";"M0.016";"M0.032";"M0.064";"M0.125";"M0.25";"M0.5";"M1";"M2";"M4";"M8";"M16";"M32";"M64";"M128";"M256";"M512";"ECOFF";"Distributions";"Observations"
"Amphotericin B";"Candida krusei Etest";0;0;0;5;4;4;13;0;14;17;8;1;0;0;0;0;0;0;0;;5;66
"Amphotericin B";"Candida krusei EUCAST";0;0;0;0;1;2;13;63;54;61;15;0;0;0;0;0;0;0;0;1;10;209
"Amphotericin B";"Candida lusitaniae Etest";0;0;0;1;0;0;9;12;4;0;0;0;0;0;0;0;0;0;0;;4;26
"Amphotericin B";"Candida lusitaniae EUCAST";0;0;0;0;11;9;10;8;6;6;0;0;0;0;0;0;0;0;0;;10;50
"Amphotericin B";"Candida norvegensis Etest";0;0;0;0;0;0;1;1;8;0;0;0;0;0;0;0;0;0;0;;1;10
"Amphotericin B";"Candida parapsilosis Etest";0;0;2;6;6;6;16;14;50;26;0;0;0;0;0;0;0;0;0;;6;126
"Amphotericin B";"Candida parapsilosis EUCAST";0;0;1;0;32;108;166;139;159;121;22;0;0;0;0;0;0;0;0;1;10;748
"Amphotericin B";"Candida tropicalis Etest";2;2;12;16;4;1;17;20;41;14;4;1;0;0;0;0;0;0;0;;6;134
"Amphotericin B";"Candida tropicalis EUCAST";0;0;0;0;10;85;108;65;97;48;5;0;0;1;0;0;0;0;0;1;10;419
"Amphotericin B";"Cryptococcus neoformans Etest";0;0;0;0;0;1;5;2;0;0;0;0;0;0;0;0;0;0;0;;1;8
"Amphotericin B";"Saccharomyces cerevisiae Etest";0;0;0;0;0;0;0;2;7;5;0;0;0;0;0;0;0;0;0;;2;14
"Amphotericin B";"Saccharomyces cerevisiae EUCAST";0;0;0;0;2;1;7;4;6;2;0;0;0;0;0;0;0;0;0;;5;22
"Ampicillin";"Acinetobacter baumannii";0;0;0;0;1;0;0;1;2;14;18;62;244;673;2720;111;3;35;1;;4;3885
"Ampicillin";"Acinetobacter lwoffii";0;0;0;0;0;0;4;6;13;32;62;44;42;32;118;0;0;0;0;;1;353
"Ampicillin";"Acinetobacter spp";0;0;0;0;0;0;7;7;25;48;96;112;188;515;3224;1;1;0;0;;2;4224
"Ampicillin";"Aerococcus sanguinicola";0;0;0;4;16;20;3;5;0;0;0;0;0;0;0;0;0;0;0;;2;48
"Ampicillin";"Aerococcus spp";0;0;0;0;5;20;19;16;0;0;0;0;0;0;0;0;0;0;0;;1;60
"Ampicillin";"Aerococcus urinae";0;0;0;0;1;2;16;11;0;0;0;0;0;0;0;0;0;0;0;;1;30
